Title,Transaction Date,Acquired_Disposed,Amount,Price
AMAZON COM INC,11/21/2024,D,"2,389",$198.5981(4)
AMAZON COM INC,11/21/2024,D,"3,759",$200.2409(5)
AMAZON COM INC,11/21/2024,D,"6,471",$200.9776(6)
AMAZON COM INC,11/21/2024,D,972,$201.7213(7)
AMAZON COM INC,11/21/2024,D,304,$202.8684(8)
AMAZON COM INC,,,,
AMAZON COM INC,,,,
AMAZON COM INC,11/19/2024,D,"1,339,193",N/A
AMAZON COM INC,11/20/2024,D,"70,806",N/A
AMAZON COM INC,,,,
AMAZON COM INC,11/15/2024,A,"2,605",N/A
AMAZON COM INC,,,,
AMAZON COM INC,,,,
AMAZON COM INC,11/15/2024,A,"13,753",N/A
AMAZON COM INC,11/15/2024,D,"2,302",$204.9946(2)
AMAZON COM INC,11/15/2024,D,"1,200",$205.7475(3)
AMAZON COM INC,11/15/2024,D,"2,000",$206.78(4)
AMAZON COM INC,,,,
AMAZON COM INC,11/15/2024,D,"4,950",N/A
AMAZON COM INC,11/15/2024,A,"2,473",N/A
AMAZON COM INC,11/15/2024,A,"2,473",N/A
AMAZON COM INC,11/15/2024,A,"2,473",N/A
AMAZON COM INC,11/19/2024,D,"1,237",$199.06
AMAZON COM INC,11/15/2024,A,"2,605",N/A
AMAZON COM INC,11/15/2024,A,"1,900",N/A
AMAZON COM INC,11/12/2024,D,"1,028,919",$206.4982(2)
AMAZON COM INC,11/12/2024,D,"669,071",$207.5692(3)
AMAZON COM INC,11/12/2024,D,"1,145,189",$208.5785(4)
AMAZON COM INC,11/12/2024,D,"153,183",$209.2077(5)
AMAZON COM INC,11/13/2024,D,"68,195",$210.0126(6)
AMAZON COM INC,11/13/2024,D,"143,606",$210.9248(7)
AMAZON COM INC,11/13/2024,D,"53,019",$212.0361(8)
AMAZON COM INC,11/13/2024,D,"39,538",$212.7137(9)
AMAZON COM INC,11/07/2024,D,"4,766",$209.85
AMAZON COM INC,11/08/2024,D,"779,417",$208.1768(2)
AMAZON COM INC,11/08/2024,D,"1,966,340",$209.0134(3)
AMAZON COM INC,11/08/2024,D,"250,605",$209.6346(4)
AMAZON COM INC,11/11/2024,D,"1,613,353",$206.2804(5)
AMAZON COM INC,11/11/2024,D,"1,010,275",$206.8678(6)
AMAZON COM INC,11/11/2024,D,"241,951",$208.1669(7)
AMAZON COM INC,11/11/2024,D,"129,103",$208.9932(8)
AMAZON COM INC,11/11/2024,D,"1,680",$209.65
AMAZON COM INC,11/06/2024,D,"1,759,942",$200.3935(2)
AMAZON COM INC,11/06/2024,D,"618,801",$201.3303(3)
AMAZON COM INC,11/06/2024,D,"474,608",$202.35(4)
AMAZON COM INC,11/06/2024,D,"143,011",$203.2023(5)
AMAZON COM INC,11/07/2024,D,"214,327",$207.6637(6)
AMAZON COM INC,11/07/2024,D,"139,475",$208.7575(7)
AMAZON COM INC,11/07/2024,D,"1,807,570",$209.8438(8)
AMAZON COM INC,11/07/2024,D,"661,403",$210.7096(9)
AMAZON COM INC,11/07/2024,D,"173,587",$211.5625(10)
AMAZON COM INC,11/04/2024,D,900,$196.37
AMAZON COM INC,11/01/2024,D,"5,004",$199.85
AMAZON COM INC,11/01/2024,D,"3,500",$198.96
AMAZON COM INC,,,,
AMAZON COM INC,11/01/2024,D,"1,068,452",$200.0657(2)
AMAZON COM INC,10/01/2024,D,"3,500",$184.8
AMAZON COM INC,,,,
AMAZON COM INC,09/24/2024,D,"2,190",$195
AMAZON COM INC,09/03/2024,D,"3,500",$177.87
AMAZON COM INC,,,,
AMAZON COM INC,08/28/2024,D,"293,646",N/A
AMAZON COM INC,08/29/2024,D,"261,739",N/A
AMAZON COM INC,08/21/2024,A,"20,000",N/A
AMAZON COM INC,08/21/2024,A,"31,960",N/A
AMAZON COM INC,08/21/2024,D,"4,148",$179.5742(2)
AMAZON COM INC,08/21/2024,D,"6,223",$180.3837(3)
AMAZON COM INC,08/21/2024,D,"9,523",$181.4165(4)
AMAZON COM INC,08/21/2024,D,890,$182.1103(5)
AMAZON COM INC,,,,
AMAZON COM INC,,,,
AMAZON COM INC,08/21/2024,A,"12,660",N/A
AMAZON COM INC,08/21/2024,A,"2,600",N/A
AMAZON COM INC,08/21/2024,D,"2,128",$180.5731(2)
AMAZON COM INC,08/21/2024,D,"3,472",$181.4435(3)
AMAZON COM INC,08/21/2024,D,504,$182.1754(4)
AMAZON COM INC,,,,
AMAZON COM INC,08/21/2024,D,"3,025",$179.5751(2)
AMAZON COM INC,08/21/2024,D,"5,647",$180.5094(3)
AMAZON COM INC,08/21/2024,D,"6,050",$181.4588(4)
AMAZON COM INC,08/21/2024,D,538,$182.2157(5)
AMAZON COM INC,,,,
AMAZON COM INC,,,,
AMAZON COM INC,08/21/2024,A,"11,360",N/A
AMAZON COM INC,08/21/2024,A,"3,240",N/A
AMAZON COM INC,08/21/2024,D,"14,600",$180
AMAZON COM INC,,,,
AMAZON COM INC,08/21/2024,A,"11,360",N/A
AMAZON COM INC,08/21/2024,A,"3,240",N/A
AMAZON COM INC,08/21/2024,D,"4,782",$180.264(2)
AMAZON COM INC,08/21/2024,D,"3,676",$181.3505(3)
AMAZON COM INC,08/21/2024,D,"1,032",$182.0703(4)
AMAZON COM INC,08/21/2024,A,"2,340",N/A
AMAZON COM INC,08/21/2024,A,360,N/A
AMAZON COM INC,08/21/2024,A,"2,772",N/A
AMAZON COM INC,08/21/2024,D,"1,100",$180.294(2)
AMAZON COM INC,08/21/2024,D,389,$180.4479(4)
AMAZON COM INC,08/21/2024,D,594,$181.3973(5)
AMAZON COM INC,08/21/2024,D,"1,400",$181.4007(6)
AMAZON COM INC,08/21/2024,D,108,$182.065(7)
AMAZON COM INC,08/21/2024,D,200,$182.195(8)
AMAZON COM INC,,,,
